"Oregon Liquor Control Commission Price Changes - Effective July 01, 2018"
"NOTE","ITEM NBR","STATUS CODE","BOTTLE PRICE","CASE PRICE","DESCRIPTION","PRICE CHANGE"
"*","5210F","M",5.00,$240.00,"CASCADIAN MAID",0.00
"*","5211B","T",39.95,$239.70,"WOODFORD RESERVE MALT",0.00
"*","5212B","O",59.95,$359.70,"HERRADURA ULTRA ANEJO",0.00
"%","6016B","R",17.95,$215.40,"NEW DEAL PORTLAND 90 VODKA",2.00-
,"6037B","R",27.95,$335.40,"WILD TURKEY BOURBON 101",3.00
,"6060B","R",39.95,$239.70,"MILAGRO ANEJO TEQUILA",4.00
"*","6120F","O",2.00,$120.00,"EL JIMADOR BLANCO TEQUILA",0.00
,"6170B","R",20.95,$251.40,"SAILOR JERRY SPICED RUM",4.00
"*","6176F","O",2.00,$120.00,"EL JIMADOR REPOSADO",0.00
,"6189H","R",30.95,$185.70,"THREE OLIVES VODKA",4.00
,"6279H","R",30.95,$185.70,"THREE OLIVES GRAPE VODKA",4.00
,"6290B","R",26.95,$323.40,"NEW DEAL HOT MONKEY VODKA",5.00
"#","6382B","S",54.45,$326.70,"ASOMBROSO LA ROSA TEQUILA",24.45
"%","6393B","R",22.95,$275.40,"SAUZA HORNITOS PLATA",2.00-
"%","6394B","R",22.95,$275.40,"SAUZA HORNITOS ANEJO",2.00-
"#","6424B","D",47.95,$575.40,"YEYO SILVER TEQUILA",0.00
,"6427H","R",32.95,$197.70,"KRAKEN BLACK SPICED RUM",3.00
"#","6480B","O",22.95,$275.40,"JACK DANIEL'S 1905 LEGACY",10.95
,"6484B","R",19.95,$239.40,"SKYY INFUSIONS-PINEAPPLE",4.00
,"6515B","R",19.95,$239.40,"JIM BEAM RED STAG",3.00
,"6606B","R",24.95,$299.40,"TANQUERAY RANGPUR GIN",3.00
,"6647B","S",56.95,$341.70,"OLD RAJ DRY GIN RED LBL",2.00
,"6680E","M",25.00,$300.00,"STAR CRIMSON PEAR LIQ",5.00-
"%","6734B","R",16.45,$197.40,"METAXA OUZO",1.50-
,"6757B","R",19.95,$239.40,"SKYY INFUSIONS-BLOOD ORANG",4.00
"#","6815B","H",9.95,$119.40,"FULTON'S HARVEST PUMPKIN",7.95
"%","6881B","R",18.95,$227.40,"JACK DANIEL'S TN HONEY",2.00-
,"6903B","R",74.95,$449.70,"CHIVAS REGAL 18 YR.",10.00
,"6918B","R",61.95,$743.40,"BALVENIE DOUBLEWOOD",5.00
,"6922B","R",47.95,$575.40,"GLENFIDDICH   12 YR.",8.00
,"6934B","R",65.95,$791.40,"DALWHINNIE MALT SCOTCH",6.00
,"6936B","R",80.95,$971.40,"OBAN MALT SCOTCH",7.00
,"6937B","R",90.95,"$1,091.40","LAGAVULIN 16 YR",8.00
,"6938B","L",259.95,"$1,559.70","MACALLAN SCOTCH 18",10.00
,"6947B","R",24.95,$299.40,"JIM BEAM DEVIL'S CUT",2.00
,"6978B","R",24.95,$299.40,"NEW DEAL GIN RECIPE 33",2.00
"#","6993B","D",24.95,$299.40,"ANTIGUO REPOSADO",0.00
,"6995B","R",17.95,$215.40,"PARROT BAY COCONUT 90",3.00
,"7016B","H",20.95,$125.70,"JACK DANIELS W/2 NBA GLS",2.00-
"#","7032B","H",9.95,$119.40,"PENNSYLVANIA DUTCH EGG NOG",7.95
,"7050B","R",24.95,$299.40,"RUMCHATA",3.00
,"7174B","S",55.05,$330.30,"123 CERTIFIED ORGANIC BLAN",3.00
,"7176B","S",61.05,$366.30,"123 CERTIFIED ORGANIC REPO",3.00
